x,y
7478,Taliban
5613,Islamic State of Iraq and the Levant (ISIL)
4555,Shining Path (SL)
3351,Farabundo Marti National Liberation Front (FMLN)
3288,Al-Shabaab
2772,New People's Army (NPA)
2671,Irish Republican Army (IRA)
2487,Revolutionary Armed Forces of Colombia (FARC)
2418,Boko Haram
2310,Kurdistan Workers' Party (PKK)
2024,Basque Fatherland and Freedom (ETA)
1878,Communist Party of India - Maoist (CPI-Maoist)
