country,Number of Cases
Iraq,4797
Syria,594
Turkey,82
Lebanon,50
Philippines,26
Saudi Arabia,15
France,9
Jordan,6
Tunisia,5
Russia,4
West Bank and Gaza Strip,3
Egypt,3
Belgium,3
United Kingdom,2
Iran,2
Bahrain,2
Libya,2
Somalia,1
Australia,1
Malaysia,1
Israel,1
Indonesia,1
Germany,1
Georgia,1
Yemen,1
